GTIN,codigo_producto
  7702605326785  ,95364
<,95093
00001,00001
00002,00002
00003,00003
00004,00004
00005,00005
00006,00006
00007,00007
000078601550,87690
00012,00012
00013,00013
00014,00014
00015,00015
00018,00018
00019,00019
00020,00020
00021,00021
00022,00022
00024,00024
00025,00025
00026,00026
00027,00027
00029,00029
00030,00030
00031,00031
00032,00032
00033,00033
00034,00034
00035,00035
00036,00036
00038,00038
00040,00040
00041,00041
00042,00042
00043,00043
00044,00044
00045,00045
00047,00047
00048,00048
00049,00049
00050,00050
00052,00052
00053,00053
00054,00054
00055,00055
00056,00056
00057,00057
00059262,91605
00061,00061
00061699,85969
00062,00062
00063,00063
00065,00065
00066,00066
00067,00067
00070,00070
00071,00071
00074,00074
00075,00075
00076,00076
00077,00077
00078,00078
00079,00079
00080,00080
00081,00081
00082,00082
00084,00084
00085,00085
00086,00086
00087,00087
00088,00088
00089,00089
00090,00090
00091,00091
00094,00094
00095,00095
00102,00102
00108,00108
00109,00109
00110,00110
00111,00111
00112,00112
00116,00116
00117,00117
00118,00118
00124,00124
00126,00126
00131,00131
00134,00134
00138,00138
00139,00139
00140,00140
00141,00141
00142,00142
00149,00149
00150,00150
001507,95934
00151,00151
00152,00152
00153,00153
001567,95918
00165,00165
00166,00166
00167,00167
00170,00170
00171,00171
00172,00172
00173,00173
00174,00174
00176,00176
00177,00177
00180,00180
00182,00182
00184,00184
00185,00185
00186,00186
00187,00187
00188,00188
00189,00189
00190,00190
00191,00191
00192,00192
00193,00193
00194,00194
00195,00195
00196,00196
00197,00197
00198,00198
00199,00199
00200,00200
00201,00201
00202,00202
00203,00203
00204,00204
00205,00205
00206,00206
00207,00207
00208,00208
00209,00209
00210,00210
00211,00211
00212,00212
00213,00213
00214,00214
00215,00215
00217,00217
00218,00218
00219,00219
00220,00220
00221,00221
00223,00223
00224,00224
00226,00226
00227,00227
00228,00228
00229,00229
00230,00230
00231,00231
00232,00232
00234,00234
00235,00235
00236,00236
00237,00237
00238,00238
00248,00248
00251,00251
00255,00255
00266,00266
00269,00269
00270,00270
00271,00271
00273,00273
00274,00274
00275,00275
00276,00276
00277,00277
00278,00278
00280,00280
00281,00281
00284,00284
00286,00286
00288,00288
00289,00289
00298,00298
00299,00299
00300,00300
00301,00301
00302,00302
00304,00304
00306,00306
00307,00307
00308,00308
00309,00309
00312,00312
00313,00313
00314,00314
00316,00316
00317,00317
00321,00321
00322,00322
00326,00326
00327,00327
00328,00328
00329,00329
00333,00333
00334,00334
00335,00335
00336,00336
00337,00337
00338,00338
00339,00339
00340,00340
00341,00341
00342,00342
00344,00344
00345,00345
00348,00348
00349,00349
00350,00350
00351,00351
00358,00358
00364,00364
00365,00365
00367,00367
00372,00372
00374,00374
00375,00375
00376,00376
00377,00377
00378,00378
00379,00379
00382,00382
00391,00391
00392,00392
00394,00394
00396,00396
00397,00397
00399,00399
00400,00400
00405,00405
00412,00412
00417,00417
00419,00419
00420,00420
00421,00421
00422,00422
00423,00423
00425,00425
00427,00427
00428,00428
00429,00429
00430,00430
00431,00431
00432,00432
00433,00433
00434,00434
00435,00435
00436,00436
00438,00438
00439,00439
00440,00440
00441,00441
00442,00442
00443,00443
00444,00444
00445,00445
00446,00446
00447,00447
00448,00448
00449,00449
00450,00450
00453,00453
00454,00454
00455,00455
00456,00456
00457,00457
00459,00459
00460,00460
00463,00463
00465,00465
00466,00466
00467,00467
00468,00468
00469,00469
00473,00473
00474,00474
00475,00475
00477,00477
00478,00478
00479,00479
00480,00480
00481,00481
00482,00482
00484,00484
00485,00485
00486,00486
00488,00488
00491,00491
00493,00493
00494,00494
00495,00495
00497,00497
00498,00498
00499,00499
00500,00500
00501,00501
00502,00502
00503,00503
00504,00504
00505,00505
00506,00506
00507,00507
00508,00508
00509,00509
00514,00514
00516,00516
00518,00518
00519,00519
00520,00520
00523,00523
00524,00524
00529,00529
00532,00532
00533,00533
00535,00535
00536,00536
00538,00538
00539,00539
00543,00543
00546,00546
00547,00547
00548,00548
00549,00549
00550,00550
00551,00551
00553,00553
00554,00554
00555,00555
00556,00556
00557,00557
00558,00558
00561,00561
00562,00562
00563,00563
00564,00564
00565,00565
00566,00566
00568,00568
00571,00571
00572,00572
00585,00585
00586,00586
00587,00587
00589,00589
00590,00590
00591,00591
00592,00592
00593,00593
00594,00594
00595,00595
00596,00596
00598,00598
00600,00600
00601,00601
00602,00602
00603,00603
00604,00604
00606,00606
00608,00608
00609,00609
00613,00613
00614,00614
00615,00615
00616,00616
00618,00618
00619,00619
00620,00620
00621,00621
00623,00623
00626,00626
00627,00627
00629,00629
00630,00630
00631,00631
00632,00632
00633,00633
00634,00634
00635,00635
00636,00636
00637,00637
00638,00638
00639,00639
00644,00644
00645,00645
00646,00646
00647,00647
00649,00649
00651,00651
00652,00652
00655,00655
00656,00656
00657,00657
00658,00658
00659,00659
00660,00660
00672,00672
00673,00673
00674,00674
00675,00675
00681,00681
00682,00682
00689,00689
00690,00690
00693,00693
00695,00695
00696,00696
00697,00697
00698,00698
00699,00699
00700,00700
00701,00701
00703,00703
00704,00704
00705,00705
00707,00707
00708,00708
00711,00711
00712,00712
00717,00717
00720,00720
00721,00721
00723,00723
00724,00724
00725,00725
00727,00727
00728,00728
00729,00729
00730,00730
00731,00731
00732,00732
00734,00734
00735,00735
00736,00736
00737,00737
00742,00742
00746,00746
00747,00747
00749,00749
00750,00750
00751,00751
00752,00752
00753,00753
00754,00754
00755,00755
00756,00756
00757,00757
00761,00761
00762,00762
00763,00763
00764,00764
00771,00771
00772,00772
00773,00773
00774,00774
00775,00775
00776,00776
00777,00777
00780,00780
00781,00781
00782,00782
00783,00783
00784,00784
00791,00791
00792,00792
00793,00793
00800,00800
00801,00801
00805,00805
00807,00807
00808,00808
00811,00811
00812,00812
00815,00815
00818,00818
00831,00831
00832,00832
00833,00833
00836,00836
00837,00837
00838,00838
00839,00839
00840,00840
00841,00841
00842,00842
00843,00843
00845,00845
00846,00846
00849,00849
00850,00850
00851,00851
00853,00853
00854,00854
00855,00855
00856,00856
00857,00857
00858,00858
00859,00859
00860,00860
00861,00861
00862,00862
00864,00864
00866,00866
00872,00872
00873,00873
00880,00880
00882,00882
00886,00886
00889,00889
00890,00890
00891,00891
00898,00898
00899,00899
00906,00906
00908,00908
00911,00911
00912,00912
00914,00914
00917,00917
00930,00930
00936,00936
00938,00938
00942,00942
00944,00944
00946,00946
00948,00948
00958,00958
00959,00959
00960,00960
00964,00964
00965,00965
00966,00966
00967,00967
00968,00968
00970,00970
00971,00971
00972,00972
00973,00973
00974,00974
00976,00976
00977,00977
00987,00987
00989,00989
00992,00992
00998,00998
01003,01003
01004,01004
01005,01005
01006,01006
01007,01007
0100707387023645,65685
0100707387023669,65684
0100707387023676,65660
0100707387023683,65686
0100707387062514,65662
0100707387509484,95340
0100707387509507,94978
0100707387559526,92492
0100707387582753,94730
0100707387770549,95498
010081633302007917260,88596
01009,01009
01013,01013
01015,01015
01021,01021
01022,01022
01023,01023
01024,01024
01025,01025
01030,01030
01031,01031
01032,01032
01033,01033
01045,01045
01046,01046
01047,01047
01048,01048
01052,01052
01053,01053
