codigo_proveedor,nombre
+FAR,FARMA DELIVERY
0000,NO ESPECIFICA
0001,PHARMACHECK
0002, ALEJANDRA LIENDO CHICATA
0003,SESDERMA PERU S.A.C.
0004,IMPORTACIONES VIZCARRA SRL
0005,M PHARMA
0006,BOTICA AQP PHARMA SRL
0007,DISTRIBUIDORA PHRYMA
0008,IMPORTACIONES LIENDO EIRL
0009,FOUR CV DISTRIB Y COMERC. SAC
001,DISTRIBUIDORA ALPHANOVA
0010,CORPORACION RENASE
0011,UNIPHARM SAC
0012,CLEAN B
0015,RICARDOOLABE EIRL
0016,CAMACHO ARCE BRUNO EMILIO
0018,CORPORACION BOTICAS PERU SAC
0023,COMERCIAL ALEJANDRITO
0024,LATINEX IMPORT EXPORT SAC
0025,CALIMEDIC EIRL
0026,FARMACIA CRUZ MILAGROSA
003,GOMED PHARMACEUTICALS S.A.C.
0032,FARMACIA CA-VAL
0033,DISTRIBUIDORA LA PAZ
0034,DISTRIBUIDORA SURATI SAC
0035,SPIRULINA LE BOUR
0039,FARMACIA FASURPERU
0041,GP PHARM SA
0045,PHARMANDES EIRL
0048,DROGUERIA J&M SRL
0052,NEOSALUD S.A.C.
0053,BIOTOSCANA FARMA DE PERU S.A.C.
0056,BOTICA SANTA RAFAELA
0058,D´REYNAS
0069,BOTICA ALIVIO
0089,LKM PERU SA
0095,BELIA
0099,CMS DEL SUR
010,LITO ANTONIO OLIVAR
0100,EUROLABS PERU SAC
0101,FARMACHAL SAC
0102,PROPIEL E.I.R.L.
0103,ADASUR DENT
0104,MARG PERU S.A.C.
0106,SADISAC
0109,STEVIA CORONEL SAC
011,INDUSTRIA GALLETERA MI ABUELA
0112,DISTRIBUIDORA ROBENY
0121,TERBONOVA
0126,MADRID PAZ ROSMERY
0129,BOTICA 28 DE JULIO
013,FARMACIA AREQUIPA E.I.R.L.
0139,VICTORIA MEDICAL S.A.C.
0147,HOSPITAL HONORIO DELGADO
0148,MARIA A. ROSADO JIMENEZ E.I.R.L.
015,BEASANRO EIRL
0156,CORPORACION PHARMA SOLUTIONS PERU S.A.C.
0159,LABORATORIO CRESPAL
0162,INVERSIONES L.E.K. S.A.C.
0169,RUWJAN FARMACEUTICA S.A.C.
019,DISTRIBUIDORA DROGUERIA PHRYMA S.A.C.
0198,VANTTIVE S.A.C.
020,MULTIDEPORTES AREQUIPA SRL
022,DIGASA P&J SERVICIOS Y DISTRIBUCIONES
0253,PHARMAGEN
030,LABORATORIO GERARDO M SAC
033,ESCALANTE CARDENAS SAMIRA
040,EMPRESA COMERCIALIZADORA DE BEBIDAS S.A.
041,SYS COSMETICA LAB
047,RINOFACE
049,COMERCIAL ORION
050,DIABETES Y SALUD PERU SRL
051,PHARMARIS PERU SAC
052,CORPORACION ANVAMA SRL
054,DISTRIBUIDORA LA PAZ
0600,SKIN-PR
090,VALEANT
100,KEYFARM
105,PHARMACHAL SAC
112,GESGO S.A.C.
122,PHARMAX SAC
21 C,21ST CENTURY
24HO,FARMACIA 24 HORAS
3GIM,3G IMPORTACIONES E.I.R.L.
3M,"3M,."
3SM,CORPORACIÓN 3 SM S.R.L.
4711,4711
4LIF,4LIFE RESEARCH PERU SRL
5M,5M DISTRIBUCIONES
ABAS,BOTICA ABASMED SOCIEDAD ANONIMA CERRADA
ABBO,.
ABC,AREQUIPA BABY CENTER S.A
ABFD,ABF DISTRIBUCIONES GENERALES
ABUE,LA ABUELA E.I.R.L GALLETAS
ACG,.
ACON,A. CONSTELLATION E.I.R.L.
ADAS,DROGUERIA ADASUR DENT IMPORTACIONES EIRL
ADIB,ADIBA S.A. DISTRIBUIDORA
AFAR,ALFAR
AFFO,AFFORD E.I.R.L
AGOS,AGOSTINI E.I.R.L.
AL,.
ALBI,DISTRIBUIDORA ALBIS S.A.
ALFA,ALFA
ALIA,DISTRIBUIDORA ALIADAS S.A.
ALIG,ALIGOL S.R.L.
ALOK,ALFONSO OKEDA YOSHIKA
ALPA,ALPAMAYO REPRESENTACIONES S.A
ALTI,ALTIPLANO
AMER,FARMACIA AMERICANA S.R.LTDA
ANA,FCIA.SOR ANA DE LOS ANGELES
ANDA,MERCANTIL ANDALY
ANDI,LS.ANDINA S.A
ANDN,ANDES NUTRITION S.A.C.
ANDR,ANDREA PERU E.I.RL.
ANGI,DISTRIBUCIONES ANGGIE EIRL.
ANGY,ANGYMARC ASOCIADOS
APDI,APDIS  DISTRIBUCIONES E.I.R.L
APPD,APPDERMA S.A.C.
AQP,DISTRIBUCIONES AQP
AQPE,PROVEEDORES DE JUGUETERIA AQPE
ARAC,CERAMICA DECORATIVA ARACELI
ARCA,BOTICAS ARCANGEL
ARES,ARES DISTRIBUCIONES S.R.L
ARIE,ARIESA DISTRIBUCIONES EIRL
ARIM,ARIMPORT E.I.R.L
ARNA,ARNAU
ATES,ATESA S.A.
AUST,DISTRB.IMP.Y EXP.AUSTRAL SRL
AVEL,DISTRIBUIDORA LA AVELLANA SCRL
AVLA,AVANLAB PERU S.A.C.
B&S,BOTICAS Y SALUD S.A.C.
BABY,BABY JEAN
BAMB,BAMBINO INTERNACIONAL S.A
BARA,LA BARATURA S.A
BARS,BARSAND INTERNATIONAL S.A.C.
BASA,BAKELITA Y ANEXOS S.A
BAYE,BAYER HEALTH CARE
BDAC,BOTICAS DANIEL ALCIDES CARRION E.I.R.L.
BELA,BELAFARMA PERU S.A.C
BELE,JUGUETERIA Y BELENES
BELI,BELIA TRADING PERU SAC
BELL,BELLSOUTH S.A
BET,CANAZA CCAMA WILBER RENEE
BIAB,BIABIC EXPORT.E IMPORTACIONES
BIAE,TOP IMPORT S.R. LTDA.
BILE,BISLE E.I.R.LTDA.IMPORTACIONES
BIMB,BIMBO PRODUCTOS
BIOC,BIOCHEMICALS E.I.R.L.
